VOUCHER NUMBER,AMOUNT,CHECK DATE,DEPARTMENT NAME,CONTRACT NUMBER,VENDOR NAME,CASHED
PVCI372428716,6977.03,01/15/2018,DEPT OF GENERAL SERVICES,32909,METROPOLITAN FAMILY SERVICE,True
PVRF734298312,174.4,11/19/2019,DEPT OF GENERAL SERVICES,30015,"OFFICE DEPOT, INC.",True
PVCI527499204,14538.48,04/21/2019,DEPT OF GENERAL SERVICES,40769,"OAKK CONSTRUCTION COMPANY, INC",True
PV27082562948,2762.92,01/21/2019,DEPT OF BUSINESS & INFORMATION SERVICES,19755,CANON SOLUTIONS AMERICA INC,True
PVCI248619590,11935.07,11/11/2019,DEPT OF FAMILY AND SUPPORT SERVICES,66942,CENTERS FOR NEW HORIZONS 01,True
PVCI037790798,1743.38,07/15/2019,DEPARTMENT OF WATER MANAGEMENT,32564,SEBIS DIRECT,True
PV39490413385,5314.06,01/16/2019,DEPT OF FAMILY AND SUPPORT SERVICES,29937,VERIZON WIRELESS,True
PV27609505435,26177.62,09/14/2018,DEPT OF FAMILY AND SUPPORT SERVICES,21860,"GRAYBAR ELECTRIC COMPANY, INC",True
PV99030803043,5940.24,04/29/2019,DEPT OF FAMILY AND SUPPORT SERVICES,17739,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
CVIP433390508,156.71,07/07/2018,DEPT OF GENERAL SERVICES,30015,SECRETARY OF STATE,True
PVCI763484363,67762.79,09/07/2019,CHICAGO PUBLIC LIBRARY,33232,"CHICAGO UNITED INDUSTRIES, LIMITED",True
PV27022314110,24983.71,12/10/2018,DEPT OF FAMILY AND SUPPORT SERVICES,29859,PRIMO CENTER FOR WOMEN AND CHILDREN,True
PV39662089653,5.17,08/02/2018,DEPT OF GENERAL SERVICES,30298,PV HOLDING CORP,False
PV39610684891,12668.32,12/06/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,20293,HERC RENTALS INC,True
CVIP463004018,16.42,01/18/2018,DEPT OF GENERAL SERVICES,30300,SCR MEDICAL TRANSPORTATIONS INC LS,True
PVCI871758556,30198.72,05/05/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,73156,MARY CRANE LEAGUE,True
PV99600233953,44003.96,03/04/2019,DEPT OF AVIATION,26313,JOHNSON PIPE & SUPPLY COMPANY INC,True
PVCI249450798,90246.34,05/16/2019,DEPT OF GENERAL SERVICES,25098,TAFT STETTINIUS HOLLISTER LLP CHICAGO,True
PVRF881031878,4553.78,01/11/2018,DEPT OF BUSINESS & INFORMATION SERVICES,18085,HENRY BOOTH HOUSE,True
PV27186724250,86666.19,02/08/2018,DEPT OF GENERAL SERVICES,32230,TAFT STETTINIUS HOLLISTER LLP CHICAGO,True
PV27842507912,2705.01,10/27/2019,DEPT OF FAMILY AND SUPPORT SERVICES,30871,SECRETARY OF STATE,True
PV39277960168,2879.85,11/17/2019,DEPT OF FAMILY AND SUPPORT SERVICES,18086,OLIVE BRANCH MISSION,True
PV99092873664,142103.07,04/11/2019,CITY CLERK,26588,"RICONDO & ASSOCIATES, INC.",True
PV99736654751,9102.2,09/04/2018,DEPT OF FAMILY AND SUPPORT SERVICES,DV,UNIVERSITY OF CHICAGO 03,True
PVCI646894682,61.17,08/13/2018,DEPT OF FAMILY AND SUPPORT SERVICES,32230,HERTZ VEHICLES LLC,True
PVRF063646308,60978.75,12/29/2018,DEPARTMENT OF WATER MANAGEMENT,24512,"ADA S. MC KINLEY COMMUNITY SERVICES, INC.",False
PV99879517244,3823.66,01/21/2019,DEPT OF GENERAL SERVICES,30016,PRODUCTION DISTRIBUTION COMPANIES,True
PV39849956739,13600.78,10/23/2018,DEPARTMENT OF FINANCE,26901,"TPA NETWORK, INC C/O",True
PV27641220745,614.99,10/07/2018,DEPARTMENT OF POLICE,28296,LANGUAGE LINE SERVICES 01,True
PV39683120802,10162.32,03/03/2019,DEPT OF FLEET MGMT,33233,"GRAYBAR ELECTRIC COMPANY, INC",True
PV39662851278,1406.27,02/04/2019,DEPARTMENT OF HOUSING,49308,"INGRAM LIBRARY SERVICES, INC",True
CVIP274710604,2355.65,04/23/2019,DEPT OF STREETS & SANITATION,41932,CANON SOLUTIONS AMERICA INC,True
PV27164982951,7867.38,11/17/2018,DEPT OF GENERAL SERVICES,DV,REITER BURNS LLP,True
CVIP048335690,37.17,02/13/2019,DEPT OF FAMILY AND SUPPORT SERVICES,32230,"OFFICE DEPOT, INC.",True
PVRF094075916,13640.81,03/29/2018,DEPARTMENT OF FINANCE,24026,PEOPLE'S GAS LIGHTS & COKE COOK FLEET|CLEANED-UP,True
PV39052172959,16910.55,11/28/2018,DEPT OF GENERAL SERVICES,26775,"BUS & TRUCK OF CHICAGO, INC",True
PVCI814904766,5756.05,12/07/2018,OFFICE FOR PEOPLE WITH DISABILITIES,69568,MERCYWORKS OCCUPATIONAL MEDICINE,True
PVRF870382720,3982.39,12/19/2018,DEPARTMENT OF FINANCE,67510,"TERRACON CONSULTANTS, INC.",True
PV39150060844,9810.97,03/15/2019,DEPARTMENT OF WATER MANAGEMENT,58539,AIR ONE EQUIPMENT INC,True
PVRF585987490,1331.55,03/07/2018,DEPARTMENT OF WATER MANAGEMENT,30586,"OFFICE DEPOT, INC.",True
PVRF501801412,48.53,06/07/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30986,PV HOLDING CORP,True
PVCI218237489,3628.85,07/09/2018,DEPT OF BUSINESS & INFORMATION SERVICES,30015,OZINGA READY MIX CONCRETE INC,True
PV27335921578,540528.51,05/07/2018,DEPT OF COMMUNITY DEVELOPMENT,1416,"ARNOLD SCOTT HARRIS, P.C.",True
PV99516773363,1271.92,06/25/2019,DEPARTMENT OF HEALTH,41933,CHICAGO YOUTH CENTERS,True
PV99554214825,8688.09,05/18/2019,DEPT OF FLEET MGMT,26313,CITY UTILITY EQUIPMENT SALES & LEASING COMPANY,True
PV39896256535,34390.77,05/26/2019,DEPARTMENT OF WATER MANAGEMENT,30986,MARY CRANE LEAGUE,True
CVIP750582268,28504.12,01/22/2018,DEPT OF FAMILY AND SUPPORT SERVICES,28295,CANON SOLUTIONS AMERICA INC,True
PVCI203851131,5295.93,01/30/2018,DEPT OF GENERAL SERVICES,28296,PRIMO CENTER FOR WOMEN AND CHILDREN,True
PV39569252689,20543.44,11/17/2018,DEPARTMENT OF LAW,18085,SALVATION ARMY FAMILY & COMMUNITY SERVICES,True
PV99459590197,1855.17,09/07/2019,DEPT OF AVIATION,67510,"OFFICE DEPOT, INC.",True
PV27872994514,5046.89,03/20/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,32564,AIR ONE EQUIPMENT INC,True
PVCI424616996,1087.85,09/04/2019,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,91165,"TPA NETWORK, INC C/O",True
CVIP529793994,556.99,02/14/2019,DEPARTMENT OF POLICE,34450,"OFFICE DEPOT, INC.",True
CVIP960840225,7.51,03/12/2018,DEPT OF AVIATION,28820,PV HOLDING CORP,True
PV27049846033,48392.48,05/11/2018,DEPT OF GENERAL SERVICES,33469,CHILDREN'S HOME & AID SOCIETY OF ILLINOIS,True
PVRF032749486,34970.23,10/23/2019,DEPT OF GENERAL SERVICES,DV,PINNACLE HOLDINGS INC,True
CVIP058420235,8124.35,02/09/2018,DEPT OF FAMILY AND SUPPORT SERVICES,67510,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,True
PV39328637583,6131.5,02/08/2018,DEPT OF BUSINESS & INFORMATION SERVICES,26313,VERIZON WIRELESS,True
PV99352418067,26849.75,05/26/2018,DEPT OF FAMILY AND SUPPORT SERVICES,66942,ENTERPRISE LEASING CO OF CHICAGO,True
CVIP723107574,6577.62,01/07/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,18086,SERVICE SANITATION,True
PV39946606770,21441.82,06/08/2018,OFFICE OF EMERGENCY COMMUNICATION,15257,"ALBANY PARK COMMUNITY CENTER, INC",True
CVIP708667917,7477.7,06/02/2019,DEPT OF GENERAL SERVICES,19755,"SILK SCREEN EXPRESS, INC.",True
PVRF720036998,713.5,11/17/2019,DEPT OF FAMILY AND SUPPORT SERVICES,29937,"OFFICE DEPOT, INC.",True
PV99543055261,13784.18,04/17/2019,DEPT OF COMMUNITY DEVELOPMENT,21860,"ASIAN HUMAN SERVICES, INC.",True
PV39742472152,3572.96,04/29/2018,DEPT OF BUSINESS & INFORMATION SERVICES,29554,CHICAGO CHILD CARE SOCIETY,False
PV99367122737,51638.1,03/27/2018,DEPT OF FLEET MGMT,DV,PINNACLE SOLUTIONS GROUP,True
PV99733905094,8210.38,12/24/2018,DEPT OF FAMILY AND SUPPORT SERVICES,29709,"CHINESE AMERICAN SERVICE LEAGUE, INC.",True
PV99550762049,27732.83,05/10/2019,DEPT OF AVIATION,30586,"INDUSTRIAL FENCE, INC",True
PV27539681951,58389.6,01/26/2019,DEPARTMENT OF LAW,14731,HENRY BOOTH HOUSE,True
CVIP586826007,154004.37,08/22/2019,DEPT OF GENERAL SERVICES,17739,"HEARTLAND HUMAN CARE SERVICES, INC.",True
PV27157087603,10809.59,06/09/2018,DEPT OF BUSINESS & INFORMATION SERVICES,15257,BOYS & GIRLS CLUBS OF CHICAGO,True
PVCI748182707,857.14,05/15/2018,DEPARTMENT OF WATER MANAGEMENT,21859,PITNEY BOWES GLOBAL FINANCIAL,True
PVCI838483162,26611.89,07/18/2018,DEPT OF GENERAL SERVICES,19755,HOWARD AREA COMMUNITY CENTER 01,True
PV27399009180,350740.91,08/17/2018,DEPT OF GENERAL SERVICES,26901,CHICAGO TRANSITY AUTHORITY.,True
PV27127719980,135065.13,01/22/2019,DEPT OF AVIATION,30545,SEVEN-D CONSTRUCTION CO.,True
PVRF104713924,6425.43,11/26/2018,DEPT OF BUSINESS & INFORMATION SERVICES,91165,OPEN DOOR CLINIC OF GREATER ELGIN,True
CVIP655282056,148.81,01/03/2019,DEPARTMENT OF BUILDINGS,19651,BRIDGES COURT REPORTING,True
PV99919961652,6695.15,08/10/2019,DEPT OF GENERAL SERVICES,12687,KOAL ENTERPRISES INC,True
PV27076431376,5.15,05/21/2019,DEPT OF BUSINESS & INFORMATION SERVICES,30545,FEDEX,True
CVIP400349295,16726.96,09/27/2019,DEPT OF FLEET MGMT,30586,A SAFE HAVEN FOUNDATION,True
PV27927117625,13708.22,08/26/2018,DEPT OF FLEET MGMT,47811,CAROLE ROBERTSON CENTER FOR LEARNING,True
PV39836471680,132423.13,09/28/2019,DEPT OF BUSINESS & INFORMATION SERVICES,74381,RUSH UNIVERSITY MEDICAL CENTER,True
PV99931673447,17191.41,07/21/2018,DEPT OF FAMILY AND SUPPORT SERVICES,29709,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PVCI600937612,781.84,07/20/2018,DEPARTMENT OF LAW,41708,"TERRACON CONSULTANTS, INC.",True
PV39363254824,2276.35,08/02/2019,DEPT OF GENERAL SERVICES,24027,OLIVE BRANCH MISSION,True
PV39395935059,2003.95,01/20/2018,DEPT OF GENERAL SERVICES,30545,THOMSON WEST,False
PVRF634835062,166390.42,03/21/2018,DEPARTMENT OF WATER MANAGEMENT,33717,"SGA YOUTH & FAMILY SERVICES, NFP",True
PV39590316223,4964.11,11/12/2019,DEPT OF GENERAL SERVICES,29554,"IT TAKES A VILLAGE CHILD CARE SERVICES, INC",True
PV27962755335,4014.24,03/22/2018,DEPT OF GENERAL SERVICES,19542,HERC RENTALS INC,True
PVRF780251231,13524.76,11/05/2019,DEPARTMENT OF WATER MANAGEMENT,27914,HOWARD AREA COMMUNITY CENTER 01,True
PVRF460756234,1162.45,11/04/2019,DEPT OF FAMILY AND SUPPORT SERVICES,29742,"IL BONE AND JOINT INSTITUTE, LLC",True
PVRF792346886,2692.49,08/19/2018,DEPT OF FAMILY AND SUPPORT SERVICES,19542,JOHNSON PIPE & SUPPLY COMPANY INC,True
PV99828265607,16654.18,07/15/2019,DEPT OF AVIATION,28364,"DELTA DEMOLITION, INC",True
PV27063492631,18677.1,09/13/2018,OFFICE OF EMERGENCY COMMUNICATION,32528,CANON SOLUTIONS AMERICA INC,True
PV27864126720,16.49,07/10/2018,DEPT OF COMMUNITY DEVELOPMENT,21859,WHEELS LT,True
PVCI702278327,1521.58,04/26/2019,DEPARTMENT OF WATER MANAGEMENT,19755,CHICAGO URBAN LEAGUE DEV CORP,True
PV39487431859,5696.59,10/09/2018,DEPARTMENT OF WATER MANAGEMENT,75071,"MOBILE FACILITIES OF ILL, INC.",True
PV27945029745,12836.89,01/09/2018,DEPT OF FAMILY AND SUPPORT SERVICES,66942,"INGRAM LIBRARY SERVICES, INC",True
PV99337629701,330.56,07/29/2019,DEPT OF AVIATION,91165,"PROGRESSIVE INDUSTRIES, INC.",True
PV99702319723,16.82,10/17/2018,DEPT OF FAMILY AND SUPPORT SERVICES,46305,RENTAL CAR FINANCE CORP,True
PV27890182456,5195.48,04/18/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,19847,"OAKK CONSTRUCTION COMPANY, INC",True
CVIP048189494,20974.94,09/28/2018,DEPT OF FAMILY AND SUPPORT SERVICES,102621,JOHNSON PIPE & SUPPLY COMPANY INC,True
PV27430722190,2443.55,03/21/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,73156,"OFFICE DEPOT, INC.",True
PV27229865125,7458.31,04/17/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,29859,AECOM TECHNICAL SERVICES,False
PVRF130826463,29843.53,08/14/2019,FIRE DEPARTMENT,67510,C & C COMMUNICATIONS,True
CVIP140417448,25120.09,04/09/2018,DEPARTMENT OF FINANCE,66942,HERC RENTALS INC,True
PVRF317979695,29633.37,07/31/2019,DEPARTMENT OF REVENUE,41933,DELL MARKETING LP.,True
PV39093358645,6587.55,07/03/2018,DEPT OF AVIATION,18086,"OAKK CONSTRUCTION COMPANY, INC",True
PVRF196986849,113387.66,06/25/2019,DEPT OF FLEET MGMT,32528,PEOPLE'S GAS LIGHTS & COKE COOK FLEET|CLEANED-UP,True
PVRF684683642,30.83,07/19/2018,DEPT OF BUSINESS & INFORMATION SERVICES,67510,SCR MEDICAL TRANSPORTATIONS INC LS,True
CVIP162130443,2895.66,06/30/2018,DEPT OF AVIATION,31001,"MOBILE FACILITIES OF ILL, INC.",False
PV39585764737,61630.49,04/09/2019,DEPT OF COMMUNITY DEVELOPMENT,3718,MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,True
PV39703617317,905351.08,10/29/2018,DEPT OF BUSINESS & INFORMATION SERVICES,5432,PAN-OCEANIC ENGINEERING CO INC,True
CVIP226424446,10762.91,06/14/2018,DEPT OF STREETS & SANITATION,29859,HOWARD BROWN HEALTH CENTER,True
PV27821968913,3875534.07,02/28/2018,DEPT OF GENERAL SERVICES,32909,RELIABLE CONTRACTING & EQUIP.,True
PVCI792311578,3291.11,10/30/2019,DEPARTMENT OF WATER MANAGEMENT,20293,"OFFICE DEPOT, INC.",True
PVRF708032570,3426.46,10/24/2019,DEPT OF GENERAL SERVICES,33371,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PVCI421717687,64.3,05/31/2019,DEPARTMENT OF WATER MANAGEMENT,28364,"OFFICE DEPOT, INC.",False
CVIP151951339,15135.51,08/07/2019,DEPT OF FAMILY AND SUPPORT SERVICES,61840,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PV27099236929,4034.56,06/05/2019,DEPARTMENT OF WATER MANAGEMENT,30298,"INGRAM LIBRARY SERVICES, INC",True
PVRF685883084,16437.12,02/04/2019,DEPT OF FLEET MGMT,28296,COMMONWEALTH. EDISON CO.,True
PVRF007576481,22109.37,03/14/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,19539,METROPOLITAN FAMILY SERVICE,True
PV99175112349,23219.3,07/13/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,31001,CHICAGO COMMONS ASSOCIATION,True
PV27312250874,2840.56,09/26/2019,DEPARTMENT OF FINANCE,47811,BOYS & GIRLS CLUBS OF CHICAGO,True
CVIP235714087,121568.66,11/30/2018,DEPARTMENT OF HEALTH,41932,G & V CONSTRUCTION CO INC,True
PVCI019934057,23182.93,07/11/2018,DEPT OF AVIATION,33469,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,True
PV99117556947,21255.11,09/18/2019,DEPT OF FAMILY AND SUPPORT SERVICES,51904,BUILDERS CHICAGO CORPORATION,True
CVIP090013658,3397.55,03/17/2018,DEPT OF GENERAL SERVICES,33469,HOWARD BROWN HEALTH CENTER,True
CVIP421976864,334.36,05/24/2019,DEPT OF BUSINESS & INFORMATION SERVICES,22875,HERTZ VEHICLES LLC,True
CVIP268302314,75031.38,02/10/2018,DEPT OF AVIATION,74381,G & V CONSTRUCTION CO INC,True
CVIP391372476,2313995.26,10/13/2018,DEPARTMENT OF HEALTH,28296,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",False
PV39540005361,11274.17,01/23/2018,DEPT OF FAMILY AND SUPPORT SERVICES,19755,AT & T 09,True
PV27984654228,3107.34,01/09/2019,DEPT OF FAMILY AND SUPPORT SERVICES,61840,"OFFICE DEPOT, INC.",True
CVIP423415190,18581.58,10/22/2018,FIRE DEPARTMENT,28364,MAC AUTO INC,True
CVIP086654339,23527.54,08/11/2018,DEPT OF GENERAL SERVICES,14731,G & V CONSTRUCTION CO INC,True
PV39611788374,14377.87,05/17/2019,DEPARTMENT OF LAW,25098,"EASTER SEALS METROPOLITAN CHICAGO, INC.",True
PVRF590758725,148782.59,06/21/2019,DEPT OF BUSINESS & INFORMATION SERVICES,24512,METROPOLITAN FAMILY SERVICE,True
PVCI674766750,4183.69,07/21/2019,DEPT OF AVIATION,24026,"OAKK CONSTRUCTION COMPANY, INC",True
PVRF616957932,77363.3,08/07/2019,DEPT OF GENERAL SERVICES,3718,BUILDERS CHICAGO CORPORATION,True
PV27351748663,916.75,11/25/2019,DEPT OF AVIATION,1416,HERTZ VEHICLES LLC,True
PVRF392604936,9506.53,02/02/2019,DEPT OF AVIATION,40336,"OAKK CONSTRUCTION COMPANY, INC",True
PVCI373238742,8928.15,04/03/2018,DEPT OF AVIATION,12687,"KOREAN AMERICAN COMMUNITY SERVICES, INC.",True
PV39072841920,3091.08,10/24/2019,OFFICE OF EMERGENCY COMMUNICATION,67510,"CHICAGO UNITED INDUSTRIES, LIMITED",True
PVCI618998841,56366.85,12/29/2018,DEPT OF FAMILY AND SUPPORT SERVICES,61840,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,True
CVIP700996996,6854.24,11/27/2019,DEPT OF GENERAL SERVICES,65749,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
CVIP699936893,1419496.75,09/08/2018,DEPT OF COMMUNITY DEVELOPMENT,24932,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",True
CVIP437518846,79927.35,07/27/2019,DEPARTMENT OF BUILDINGS,30300,"MCDONAGH DEMOLITION, INC.",True
CVIP703714954,70230.83,02/24/2019,DEPT OF FAMILY AND SUPPORT SERVICES,DV,"TERRACON CONSULTANTS, INC.",True
CVIP443819403,3730.61,03/28/2019,DEPARTMENT OF WATER MANAGEMENT,33371,MSC INDUSTRIAL SUPPLY CO,True
PVCI165879880,115.24,10/20/2019,DEPT OF FAMILY AND SUPPORT SERVICES,41708,"OFFICE DEPOT, INC.",True
PV99251444260,76880.99,08/17/2018,DEPARTMENT OF WATER MANAGEMENT,21859,SECRETARY OF STATE,True
PVRF059923636,1735.41,12/04/2018,DEPARTMENT OF HEALTH,29554,KOAL ENTERPRISES INC,True
PV39773632272,33536.55,01/27/2019,DEPARTMENT OF LAW,26901,ENTERPRISE LEASING CO OF CHICAGO,True
PV39764579705,4110.8,12/19/2018,DEPT OF GENERAL SERVICES,19539,"SUMIT CONSTRUCTION CO., INC.",True
PVRF290270272,25550.53,12/12/2018,DEPT OF BUSINESS & INFORMATION SERVICES,73158,SEBIS DIRECT,True
CVIP325322488,14671.22,04/07/2019,DEPT OF GENERAL SERVICES,DV,QUANTUM MANAGEMENT CORP,True
CVIP554316527,430.94,02/15/2018,DEPT OF AVIATION,29709,MIDWEST ORTHOPAEDIC CONSULTANT,True
CVIP502226703,50536.31,11/09/2019,DEPARTMENT OF CULTURAL AFFAIRS,32230,"INGRAM LIBRARY SERVICES, INC",True
PVRF654879988,13359.61,08/18/2019,DEPARTMENT OF CULTURAL AFFAIRS,15257,PUERTO RICAN CULTURAL CENTER,True
PVRF352206298,2085.82,03/15/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,18086,VERIZON WIRELESS,True
PVCI383949328,39806.87,12/21/2018,DEPT OF AVIATION,27914,BACK OF THE YARDS NEIGHBORHOOD COUNCIL,True
PV27926475290,159221.67,11/25/2019,DEPT OF FAMILY AND SUPPORT SERVICES,32230,VERIZON WIRELESS,True
PVRF377758286,807.04,04/08/2019,DEPARTMENT OF WATER MANAGEMENT,3718,VICTORIA LEGAL & CORPORATE SERVICES,True
PVCI586750764,505.25,03/15/2019,DEPT OF FAMILY AND SUPPORT SERVICES,30303,"OFFICE DEPOT, INC.",True
PV99818926097,25479.44,01/03/2019,DEPT OF BUSINESS & INFORMATION SERVICES,33469,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,True
PV39493380323,35297.7,11/08/2019,DEPT OF AVIATION,47144,VERIZON WIRELESS,True
PV27926367508,734734.95,08/11/2019,DEPT OF GENERAL SERVICES,12687,WORLD FUEL SERVICES INC,True
CVIP278070313,155.01,06/04/2019,DEPT OF AVIATION,36561,"OFFICE DEPOT, INC.",True
PVRF824732638,4197.63,02/04/2019,DEPT OF BUSINESS & INFORMATION SERVICES,29859,"TERRACON CONSULTANTS, INC.",True
PVRF850758076,1482.73,09/06/2019,DEPT OF GENERAL SERVICES,30298,"IT TAKES A VILLAGE CHILD CARE SERVICES, INC",True
PV27528991357,40921.42,10/23/2018,DEPARTMENT OF BUILDINGS,33371,FIRST SCRIPT,True
PV39256365859,755.27,09/28/2018,DEPT OF GENERAL SERVICES,24026,"OFFICE DEPOT, INC.",True
PV39804603942,22105.39,10/15/2019,CHICAGO PUBLIC LIBRARY,29859,AT&T CORP,True
PV99249488893,3816.67,01/15/2018,DEPARTMENT OF LAW,15451,"INGRAM LIBRARY SERVICES, INC",True
CVIP924729978,21268.09,03/03/2019,DEPARTMENT OF FINANCE,21859,HIGHWAY SAFETY CORPORATION.,True
PV39533428150,6704.44,03/26/2018,DEPT OF FLEET MGMT,28296,PRODUCTION DISTRIBUTION COMPANIES,True
PV99521223638,11045.55,08/15/2019,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,15257,"CDW GOVERNMENT, LLC.",True
CVIP555182227,20246.22,02/10/2018,DEPT OF FAMILY AND SUPPORT SERVICES,69568,CARE PLUS LLC,True
PV99424037154,854.87,08/28/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30016,CEPAMERICA ILLINOIS LLP,True
PV27660963822,5778.26,02/19/2018,DEPT OF GENERAL SERVICES,30016,"INGRAM LIBRARY SERVICES, INC",False
PVRF484357328,58376.68,09/19/2018,DEPT OF GENERAL SERVICES,24932,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,True
CVIP135217876,186886.39,02/04/2018,DEPT OF AVIATION,31001,COMMONWEALTH. EDISON CO.,True
PV39707475518,11505.63,07/26/2018,DEPT OF AVIATION,28295,MARY CRANE LEAGUE,True
PVRF462427453,231.8,04/27/2019,DEPT OF GENERAL SERVICES,47754,"OFFICE DEPOT, INC.",True
PV27006794831,7094.83,02/08/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30586,CORNERSTONE COMMUNITY OUTREACH,True
PV99960749534,29563.64,03/24/2019,DEPARTMENT OF WATER MANAGEMENT,29554,CAROLE ROBERTSON CENTER FOR LEARNING,True
PVCI808210214,10598.03,03/16/2019,DEPT OF STREETS & SANITATION,14731,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,True
PV99663708695,4572.87,12/06/2018,DEPT OF FAMILY AND SUPPORT SERVICES,1416,"HENRY FRERK SONS, INC.",True
PVRF470991956,1776.3,08/01/2018,DEPT OF GENERAL SERVICES,28820,SEBIS DIRECT,True
PV27584059286,2216.87,07/08/2019,DEPT OF FAMILY AND SUPPORT SERVICES,33461,"INGRAM LIBRARY SERVICES, INC",True
CVIP281669881,17.34,05/23/2019,OFFICE OF EMERGENCY COMMUNICATION,30301,PV HOLDING CORP,True
PV99748677616,485.03,04/14/2019,DEPT OF AVIATION,41932,LEXIS-NEXIS,True
PV99978653069,2781.54,12/20/2018,DEPARTMENT OF HOUSING,34452,"OFFICE DEPOT, INC.",True
PV27932933780,14.27,11/26/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30298,RENTAL CAR FINANCE CORP,True
PVCI262967249,2730.86,07/22/2019,FIRE DEPARTMENT,74381,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,False
CVIP411628799,19.88,08/15/2018,DEPT OF GENERAL SERVICES,65749,WHEELS LT,True
PVCI975534476,220.59,07/11/2018,DEPT OF COMMUNITY DEVELOPMENT,69568,SECRETARY OF STATE,True
PV99990681871,974.94,11/07/2018,DEPT OF FLEET MGMT,26775,COMCAST OF CHICAGO INC,True
PVCI346257880,10313.54,03/02/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,28295,HOWARD AREA COMMUNITY CENTER 01,True
PV39306432672,3642.43,03/21/2018,DEPT OF GENERAL SERVICES,22875,"GRAYBAR ELECTRIC COMPANY, INC",True
PV99586772196,15807.4,09/07/2019,DEPT OF FAMILY AND SUPPORT SERVICES,30015,"GRAYBAR ELECTRIC COMPANY, INC",True
PVCI091031647,99774.96,04/29/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,T27781,"WELCH BROTHERS, INC",True
PVCI953572879,30709.19,08/28/2018,DEPT OF FAMILY AND SUPPORT SERVICES,65749,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,True
CVIP535023785,25984.43,04/24/2019,DEPARTMENT OF WATER MANAGEMENT,33233,"CITY ESCAPE GARDEN & DESIGN,LLC",False
PV99793029921,15516.24,11/29/2018,DEPT OF AVIATION,33233,HIGHWAY SAFETY CORPORATION.,True
PV39237276583,1325.89,01/09/2019,DEPARTMENT OF HEALTH,24027,PV HOLDING CORP,True
PV99312178226,1963.22,11/27/2018,DEPT OF AVIATION,30303,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,True
PVRF836693421,22.52,11/29/2018,DEPARTMENT OF LAW,32528,HERTZ VEHICLES LLC,True
PV27303336265,5519.42,03/10/2018,PLANNING & DEVELOPMENT,65749,"OFFICE DEPOT, INC.",True
PV39725603786,67984.41,12/15/2018,DEPT OF FAMILY AND SUPPORT SERVICES,24026,TRI-ANGLE FABRICATION & BODY,True
PV39749637326,15475.27,07/16/2018,DEPT OF COMMUNITY DEVELOPMENT,28775,HENRY BOOTH HOUSE,True
PV99688302327,62713.92,03/18/2019,DEPT OF PROCUREMENT SERVICES,30586,ENTERPRISE LEASING CO OF CHICAGO,False
PVRF460199067,9847.85,09/24/2019,DEPT OF GENERAL SERVICES,30586,SALVATION ARMY FAMILY & COMMUNITY SERVICES,True
PV39139961345,229.78,11/18/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,19847,WHEELS LT,True
PVRF146643898,2907.62,07/21/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,18086,"INGRAM LIBRARY SERVICES, INC",True
PVCI131633543,22.64,05/02/2018,DEPARTMENT OF WATER MANAGEMENT,28466,WHEELS LT,True
PV39628422431,223.85,01/20/2019,DEPARTMENT OF HEALTH,24025,"OFFICE DEPOT, INC.",True
