VOUCHER NUMBER,AMOUNT,CHECK DATE,DEPARTMENT NAME,VENDOR NAME,YEAR,MONTH
PV99562078761,7102.23,2018-11-12,CHICAGO DEPARTMENT OF TRANSPORTATION,SALVATION ARMY FAMILY & COMMUNITY SERVICES,2018,11
PV99951776675,1808.91,2019-01-21,DEPT OF FAMILY AND SUPPORT SERVICES,OPEN DOOR CLINIC OF GREATER ELGIN,2019,1
PVCI781419906,21281.37,2018-12-07,DEPT OF FAMILY AND SUPPORT SERVICES,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,2018,12
PV27170244777,4313.93,2018-03-06,DEPT OF GENERAL SERVICES,"ALIGN NETWORKS, INC.",2018,3
CVIP520017202,2251.95,2019-04-05,DEPT OF FLEET MGMT,"SILK SCREEN EXPRESS, INC.",2019,4
CVIP511739133,2870.1,2018-10-14,DEPT OF FAMILY AND SUPPORT SERVICES,ALL CHICAGO MAKING HOMELESSNESS HISTORY,2018,10
PV99596135569,359.03,2018-09-19,DEPARTMENT OF BUILDINGS,"OFFICE DEPOT, INC.",2018,9
PVRF164262215,160530.67,2019-03-30,DEPARTMENT OF WATER MANAGEMENT,"CDW GOVERNMENT, LLC.",2019,3
PVCI744014884,9787.79,2018-08-27,OFFICE OF EMERGENCY COMMUNICATION,VICTORIA LEGAL & CORPORATE SERVICES,2018,8
PV27331348568,164211.32,2019-07-10,DEPT OF FAMILY AND SUPPORT SERVICES,TITAN MANAGEMENT CORP,2019,7
PVCI113879434,5270.46,2018-02-05,DEPARTMENT OF WATER MANAGEMENT,MIDLAND ORTHOPEDIC ASSOCIATES 01,2018,2
CVIP887829757,7477.06,2018-03-19,DEPT OF AVIATION,"ABC HUMANE WILDLIFE CONTROL & PREVENTION INC,",2018,3
PV99476904382,14392.76,2018-07-15,DEPT OF FAMILY AND SUPPORT SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,7
CVIP009062941,3479.34,2019-06-08,DEPT OF GENERAL SERVICES,HIGHWAY SAFETY CORPORATION.,2019,6
PV39735903901,6257.14,2019-10-25,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,CITY UTILITY EQUIPMENT SALES & LEASING COMPANY,2019,10
PV27707808047,1188.35,2019-09-04,DEPARTMENT OF WATER MANAGEMENT,VERITEXT,2019,9
PVCI252728454,35807.32,2018-02-10,DEPARTMENT OF CULTURAL AFFAIRS,UNIVERSITY OF CHICAGO 03,2018,2
PV99880521860,1681.22,2019-01-28,CHICAGO DEPARTMENT OF TRANSPORTATION,"OFFICE DEPOT, INC.",2019,1
PV27217335679,830.17,2018-08-01,DEPARTMENT OF CULTURAL AFFAIRS,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,8
PV39699104488,3717.4,2018-03-25,DEPT OF FLEET MGMT,VERIZON WIRELESS,2018,3
PV27736719509,1634.71,2019-10-18,DEPT OF AVIATION,METROPOLITAN FAMILY SERVICE,2019,10
PVRF037101811,14535.89,2018-10-20,DEPARTMENT OF CULTURAL AFFAIRS,QUILL CORPORATION,2018,10
PV39391529628,102708.49,2018-01-23,DEPT OF GENERAL SERVICES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,2018,1
PV39290300250,111.29,2019-05-01,DEPT OF GENERAL SERVICES,WHEELS LT,2019,5
PVRF041847532,214.09,2019-03-23,DEPT OF AVIATION,"OFFICE DEPOT, INC.",2019,3
PV27775098459,299813.44,2019-01-04,DEPT OF COMMUNITY DEVELOPMENT,HAYMARKET CENTER,2019,1
CVIP965687203,4086.98,2018-10-03,CHICAGO DEPARTMENT OF TRANSPORTATION,CANON SOLUTIONS AMERICA INC,2018,10
PVRF054311386,11592.38,2018-06-14,DEPT OF FAMILY AND SUPPORT SERVICES,HIGHWAY SAFETY CORPORATION.,2018,6
CVIP758427456,9018.38,2018-07-12,DEPT OF COMMUNITY DEVELOPMENT,AT&T CORP,2018,7
PV27882509405,332001.33,2019-11-16,DEPT OF FAMILY AND SUPPORT SERVICES,"LEOPARDO COMPANIES, INC",2019,11
CVIP791564272,27160.36,2019-02-20,DEPT OF AVIATION,METROPOLITAN FAMILY SERVICE,2019,2
PVRF204518174,3908.24,2018-06-30,DEPARTMENT OF WATER MANAGEMENT,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,6
CVIP690602630,5993.87,2018-11-17,DEPT OF GENERAL SERVICES,"URLAUB, BOWEN & ASSOCIATES. INC.",2018,11
CVIP363927366,148474.87,2018-06-15,DEPT OF STREETS & SANITATION,PALM ELECTRIC COMPANY,2018,6
PV27458899196,2089.41,2018-08-11,DEPARTMENT OF WATER MANAGEMENT,COMCAST OF CHICAGO INC,2018,8
PVCI528210341,138759.8,2018-02-22,DEPT OF FAMILY AND SUPPORT SERVICES,JOHNSON PIPE & SUPPLY COMPANY INC,2018,2
PV27056825026,223483.8,2019-05-02,DEPT OF GENERAL SERVICES,"OPEN KITCHENS, INC.",2019,5
PVRF352264469,670.08,2018-07-23,DEPT OF FAMILY AND SUPPORT SERVICES,"ABC HUMANE WILDLIFE CONTROL & PREVENTION INC,",2018,7
CVIP193204727,81948.36,2018-06-01,DEPT OF FAMILY AND SUPPORT SERVICES,TRI-ANGLE FABRICATION & BODY,2018,6
PVCI582410218,14988.55,2018-11-12,CHICAGO DEPARTMENT OF TRANSPORTATION,VERIZON WIRELESS,2018,11
PV27281985501,7847.57,2018-05-25,CHICAGO PUBLIC LIBRARY,AT&T CORP,2018,5
PVCI345499841,1877.45,2018-12-13,DEPARTMENT OF ENVIROMENT,QUILL CORPORATION,2018,12
PVRF789757717,313613.14,2019-04-21,DEPT OF STREETS & SANITATION,PAN-OCEANIC ENGINEERING CO INC,2019,4
PV39301039012,23288.17,2018-07-24,DEPT OF AVIATION,"EASTER SEALS METROPOLITAN CHICAGO, INC.",2018,7
PV99949254265,1087.18,2018-09-12,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,VERIZON WIRELESS,2018,9
PV99052165846,189.42,2019-11-23,DEPT OF FAMILY AND SUPPORT SERVICES,UNITED PARCEL SERVICE 01,2019,11
PV27616934635,6564.56,2019-08-04,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO URBAN LEAGUE DEV CORP,2019,8
PV27395419235,16832.49,2018-08-15,DEPT OF FAMILY AND SUPPORT SERVICES,AIR ONE EQUIPMENT INC,2018,8
PV99489095691,70228.39,2018-11-11,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,CHICAGO COMMONS ASSOCIATION,2018,11
PV99012016838,828.82,2019-08-28,CHICAGO PUBLIC LIBRARY,COMCAST OF CHICAGO INC,2019,8
PV27806067967,14.86,2018-03-21,DEPARTMENT OF WATER MANAGEMENT,HERTZ VEHICLES LLC,2018,3
CVIP237822206,830.65,2019-03-09,DEPT OF STREETS & SANITATION,NORTHWESTERN MED. FAC. FOUNDATION,2019,3
PV27790406609,5326.76,2018-08-25,DEPT OF GENERAL SERVICES,"PROGRESSIVE INDUSTRIES, INC.",2018,8
PV99561881105,23632.0,2019-09-21,DEPT OF FAMILY AND SUPPORT SERVICES,HERC RENTALS INC,2019,9
PV99501064327,1963.76,2019-05-26,DEPT OF GENERAL SERVICES,COMCAST OF CHICAGO INC,2019,5
PV99031934278,4482.49,2019-01-11,OFFICE FOR PEOPLE WITH DISABILITIES,"TPA NETWORK, INC C/O",2019,1
PV99264378224,49845.69,2019-04-06,DEPT OF GENERAL SERVICES,ONWARD NEIGHBORHOOD HOUSE,2019,4
PV99475821544,41476.42,2018-11-01,DEPT OF FAMILY AND SUPPORT SERVICES,SET ENVIRONMENTAL INC,2018,11
PVRF148860706,27922.44,2018-02-08,DEPARTMENT OF WATER MANAGEMENT,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,2
PVCI318355361,2516.13,2019-07-30,CHICAGO PUBLIC LIBRARY,SECRETARY OF STATE,2019,7
CVIP300585224,3401.88,2018-04-11,DEPARTMENT OF LAW,CORNERSTONE COMMUNITY OUTREACH,2018,4
CVIP806788714,15044.52,2019-10-25,DEPT OF FAMILY AND SUPPORT SERVICES,TRI-ANGLE FABRICATION & BODY,2019,10
PV27118334199,85651.61,2018-08-26,DEPT OF BUSINESS & INFORMATION SERVICES,MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,2018,8
PVRF563809227,29.45,2019-11-13,DEPARTMENT OF POLICE,P V HOLDING CORP,2019,11
PV99991394840,4971.65,2019-04-09,CHICAGO DEPARTMENT OF TRANSPORTATION,MIDLAND ORTHOPEDIC ASSOCIATES 01,2019,4
PVRF509434982,9630.52,2019-07-15,DEPT OF STREETS & SANITATION,OZINGA READY MIX CONCRETE INC,2019,7
PVCI519107178,21150.71,2018-09-21,DEPT OF BUSINESS & INFORMATION SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,2018,9
PV27888696448,28504.46,2019-01-30,DEPARTMENT OF WATER MANAGEMENT,"EASTER SEALS METROPOLITAN CHICAGO, INC.",2019,1
PVCI635190612,5015743.96,2018-11-17,DEPT OF BUSINESS & INFORMATION SERVICES,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",2018,11
PVRF344576043,744.63,2018-04-28,DEPT OF BUSINESS & INFORMATION SERVICES,"TERRACON CONSULTANTS, INC.",2018,4
PV39346628291,102742.04,2018-06-07,DEPT OF FLEET MGMT,"MCDONAGH DEMOLITION, INC.",2018,6
PV99932056913,1673.2,2019-09-30,DEPT OF GENERAL SERVICES,HERC RENTALS INC,2019,9
PV39365104300,687.27,2019-06-15,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",2019,6
CVIP540491473,201.93,2019-05-26,DEPT OF FAMILY AND SUPPORT SERVICES,VERITEXT,2019,5
PV39719765216,9148.71,2018-01-03,DEPARTMENT OF HEALTH,"GRAYBAR ELECTRIC COMPANY, INC",2018,1
PV39969871136,102935.75,2019-04-10,DEPT OF BUSINESS & INFORMATION SERVICES,FIRST SCRIPT,2019,4
PV39008881270,11082.47,2019-04-23,DEPARTMENT OF BUILDINGS,VERTEX MANAGEMENT CORP,2019,4
PVCI539410996,2263.83,2019-07-11,DEPT OF FAMILY AND SUPPORT SERVICES,"URLAUB, BOWEN & ASSOCIATES. INC.",2019,7
PV27256476016,32400.4,2018-09-07,DEPT OF FAMILY AND SUPPORT SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,2018,9
CVIP476697517,4637.99,2018-01-31,DEPT OF COMMUNITY DEVELOPMENT,MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,2018,1
PV27417445569,24.06,2019-11-05,CHICAGO PUBLIC LIBRARY,P V HOLDING CORP,2019,11
PV39856576085,6599.01,2019-09-20,DEPT OF BUSINESS & INFORMATION SERVICES,KOAL ENTERPRISES INC,2019,9
PV39207373691,34362.05,2019-09-20,DEPT OF COMMUNITY DEVELOPMENT,"CDW GOVERNMENT, LLC.",2019,9
PVRF442036333,14093.75,2018-07-31,DEPT OF BUSINESS & INFORMATION SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,2018,7
PV27933433681,3819.73,2018-08-15,DEPT OF FAMILY AND SUPPORT SERVICES,BUILDERS CHICAGO CORPORATION,2018,8
PV39458498144,217651.4,2019-10-23,DEPARTMENT OF HEALTH,"LANDRUM & BROWN, INC",2019,10
PVCI182865374,186193.38,2018-03-10,DEPT OF GENERAL SERVICES,CARE PLUS LLC,2018,3
PV39695900738,972.91,2018-04-01,DEPT OF FAMILY AND SUPPORT SERVICES,FEDEX,2018,4
PV99351105455,892.08,2019-09-24,DEPT OF BUSINESS & INFORMATION SERVICES,GREATER ILLINOIS TITLE COMPANY,2019,9
PV39692419546,33911.48,2018-02-09,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,"IT TAKES A VILLAGE CHILD CARE SERVICES, INC",2018,2
PV27367321220,5810.95,2019-01-18,DEPT OF GENERAL SERVICES,THOMSON WEST,2019,1
PVCI818622889,2652.91,2019-07-09,DEPT OF AVIATION,MSC INDUSTRIAL SUPPLY CO,2019,7
CVIP548938789,3049.42,2019-08-25,CHICAGO PUBLIC LIBRARY,CITY UTILITY EQUIPMENT SALES & LEASING COMPANY,2019,8
PV99107123131,3722.93,2018-04-12,DEPT OF AVIATION,AT & T 09,2018,4
PV39844728660,1605.06,2018-10-14,DEPT OF AVIATION,THRESHOLDS,2018,10
PVRF112084741,32030.48,2019-06-26,DEPT OF GENERAL SERVICES,SAFER FOUNDATION,2019,6
PVRF403661279,606.25,2018-07-13,CHICAGO DEPARTMENT OF TRANSPORTATION,"OFFICE DEPOT, INC.",2018,7
PV99196638059,6047.34,2019-03-04,DEPT OF GENERAL SERVICES,HIGHWAY SAFETY CORPORATION.,2019,3
CVIP742646862,678.33,2019-08-05,DEPT OF FAMILY AND SUPPORT SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,8
PV27418856594,27217.51,2018-01-30,DEPT OF AVIATION,ONWARD NEIGHBORHOOD HOUSE,2018,1
PVCI520987001,63004.47,2018-06-15,DEPT OF FAMILY AND SUPPORT SERVICES,TAFT STETTINIUS HOLLISTER LLP CHICAGO,2018,6
PV27765108172,21894.11,2018-10-23,DEPT OF GENERAL SERVICES,VERIZON WIRELESS,2018,10
PV39523317220,364.12,2019-09-21,DEPT OF COMMUNITY DEVELOPMENT,"OFFICE DEPOT, INC.",2019,9
PV27924182128,57660.69,2019-08-12,DEPARTMENT OF WATER MANAGEMENT,A SAFE HAVEN FOUNDATION,2019,8
CVIP643730935,1690.14,2019-05-08,DEPARTMENT OF BUILDINGS,SUMMIT PARTNERS LP,2019,5
PVCI615025657,201837.28,2018-06-11,CHICAGO PUBLIC LIBRARY,"MEDRISK, INC",2018,6
PV99728910344,508894.85,2018-12-24,DEPT OF FAMILY AND SUPPORT SERVICES,AECOM TECHNICAL SERVICES,2018,12
PV27472168858,5479.91,2019-09-26,DEPT OF AVIATION,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,9
PVRF146498174,1019.37,2018-09-17,DEPT OF FAMILY AND SUPPORT SERVICES,SCR MEDICAL TRANSPORTATIONS INC LS,2018,9
PV99734862990,74941.87,2019-06-09,DEPARTMENT OF WATER MANAGEMENT,ENTERPRISE LEASING CO OF CHICAGO,2019,6
PV27437796641,12967.22,2019-04-12,DEPARTMENT OF WATER MANAGEMENT,"EASTER SEALS METROPOLITAN CHICAGO, INC.",2019,4
CVIP668453930,6304.42,2018-06-14,DEPT OF STREETS & SANITATION,OLIVE BRANCH MISSION,2018,6
PV99196470658,34646.33,2018-09-13,DEPARTMENT OF POLICE,"PROGRESSIVE INDUSTRIES, INC.",2018,9
PV99535260690,3240.38,2018-05-14,DEPT OF GENERAL SERVICES,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,2018,5
PV27271019285,957.27,2019-06-05,DEPT OF BUSINESS & INFORMATION SERVICES,PRODUCTION DISTRIBUTION COMPANIES,2019,6
PVRF828188860,81.87,2018-05-06,DEPT OF FAMILY AND SUPPORT SERVICES,HERTZ VEHICLES LLC,2018,5
PV27626370980,2506.44,2018-08-16,DEPT OF COMMUNITY DEVELOPMENT,MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,2018,8
PVRF751977916,7616.42,2019-05-11,DEPT OF FAMILY AND SUPPORT SERVICES,"INTER-CITY SUPPLY CO., INC.",2019,5
PV99499588284,6276.72,2019-09-24,DEPT OF FAMILY AND SUPPORT SERVICES,PUERTO RICAN CULTURAL CENTER,2019,9
PV27376303424,1434.16,2019-01-07,CHICAGO DEPARTMENT OF TRANSPORTATION,THRESHOLDS,2019,1
PV99222657398,6695.58,2018-02-11,DEPT OF FAMILY AND SUPPORT SERVICES,G & V CONSTRUCTION CO INC,2018,2
PV99278471630,7710.78,2018-08-10,DEPARTMENT OF HEALTH,DELL MARKETING LP.,2018,8
PV39006253291,556113.37,2018-05-18,DEPT OF GENERAL SERVICES,G & V CONSTRUCTION CO INC,2018,5
CVIP152955428,12298.79,2018-09-13,DEPT OF GENERAL SERVICES,CORNERSTONE COMMUNITY OUTREACH,2018,9
PV27390563854,18.48,2019-10-08,DEPT OF FAMILY AND SUPPORT SERVICES,WHEELS LT,2019,10
PV39122767051,160974.64,2019-10-31,DEPT OF FAMILY AND SUPPORT SERVICES,UNIVERSITY OF CHICAGO 03,2019,10
PV39711023035,28.89,2019-09-23,DEPT OF BUSINESS & INFORMATION SERVICES,P V HOLDING CORP,2019,9
PVRF100756773,8827.28,2018-11-12,DEPT OF STREETS & SANITATION,"DELTA DEMOLITION, INC",2018,11
CVIP273793641,71821.68,2018-04-24,DEPARTMENT OF REVENUE,CHICAGO COMMONS ASSOCIATION 02,2018,4
PV99487703228,3184.68,2018-09-29,CHICAGO DEPARTMENT OF TRANSPORTATION,"OFFICE DEPOT, INC.",2018,9
PV39464629486,39715.39,2018-11-02,DEPT OF COMMUNITY DEVELOPMENT,DMJM AVIATION PARTNERS,2018,11
PV99064294256,6345.87,2019-04-10,DEPT OF FAMILY AND SUPPORT SERVICES,"OCCUPATIONAL HEALTH CENTERS OF ILLINOIS, P.C",2019,4
PVCI261133007,19042.0,2018-01-10,DEPT OF FAMILY AND SUPPORT SERVICES,JOHNSON PIPE & SUPPLY COMPANY INC,2018,1
CVIP581635736,6836.34,2019-01-09,DEPT OF FAMILY AND SUPPORT SERVICES,"VCNA PRAIRIE ILLINOIS, INC.",2019,1
PV27852791806,6764.58,2019-05-15,DEPT OF FAMILY AND SUPPORT SERVICES,"MOBILE FACILITIES OF ILL, INC.",2019,5
PV99907813790,70684.74,2018-11-03,DEPARTMENT OF HEALTH,"CDW GOVERNMENT, LLC.",2018,11
PV27606012035,7976.7,2019-07-31,DEPARTMENT OF WATER MANAGEMENT,PRIMO CENTER FOR WOMEN AND CHILDREN,2019,7
PV39619490111,275.76,2018-11-28,DEPT OF STREETS & SANITATION,"OFFICE DEPOT, INC.",2018,11
PV99694263162,1771497.1,2019-01-15,DEPT OF GENERAL SERVICES,"CDW GOVERNMENT, LLC.",2019,1
PV27004405029,144715.61,2019-01-28,DEPT OF AVIATION,KENNY CONSTRUCTION COMPANY,2019,1
PVCI319242621,23.88,2018-03-27,DEPT OF GENERAL SERVICES,HERTZ VEHICLES LLC,2018,3
PV27608530813,2101.02,2019-05-10,DEPT OF FLEET MGMT,AMERICAN EXPRESS TRAVEL RELATE,2019,5
PV99199952099,801.35,2019-05-18,DEPT OF FAMILY AND SUPPORT SERVICES,BOYS & GIRLS CLUBS OF CHICAGO,2019,5
PVRF530978048,29577.38,2018-04-14,DEPT OF FAMILY AND SUPPORT SERVICES,"NEIGHBORHOOD HOUSING SERVICES CHICAGO, INC.",2018,4
PV99876268664,158.22,2018-06-28,DEPARTMENT OF WATER MANAGEMENT,HERTZ VEHICLES LLC,2018,6
PV99149796812,223213.57,2019-06-03,DEPARTMENT OF WATER MANAGEMENT,FIRST SCRIPT,2019,6
PVRF482815666,86962.51,2018-10-05,FIRE DEPARTMENT,CITY UTILITY EQUIPMENT SALES & LEASING COMPANY,2018,10
PV27881971412,797.21,2018-08-01,DEPT OF FAMILY AND SUPPORT SERVICES,"PROGRESSIVE INDUSTRIES, INC.",2018,8
PV99510531277,352008.46,2018-04-22,DEPT OF BUSINESS & INFORMATION SERVICES,MOTOROLA SOLUTIONS INC,2018,4
PV27603319046,889.46,2019-08-10,DEPT OF AVIATION,VERIZON WIRELESS,2019,8
PV99176599017,5115.89,2019-06-07,DEPARTMENT OF HEALTH,THOMSON WEST,2019,6
PVCI868347814,20232.52,2018-04-15,DEPT OF FAMILY AND SUPPORT SERVICES,"DELTA DEMOLITION, INC",2018,4
PV27136802588,9008.09,2018-11-16,DEPT OF FAMILY AND SUPPORT SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,11
PV27596102807,207029.81,2019-04-13,DEPT OF FAMILY AND SUPPORT SERVICES,G & V CONSTRUCTION CO INC,2019,4
PV99649345136,17826.06,2018-10-29,DEPARTMENT OF HEALTH,CHICAGO URBAN LEAGUE DEV CORP,2018,10
PVRF038191588,40852.54,2018-05-03,DEPARTMENT OF HEALTH,"MEDRISK, INC",2018,5
PVCI691997138,3825.6,2018-07-10,DEPT OF STREETS & SANITATION,"TPA NETWORK, INC C/O",2018,7
CVIP517642065,69224.73,2018-08-04,DEPT OF FAMILY AND SUPPORT SERVICES,COMMONWEALTH. EDISON CO.,2018,8
PVCI663949153,284648.8,2018-05-29,CITY CLERK,"LEOPARDO COMPANIES, INC",2018,5
PVCI927587474,2884.0,2018-01-11,DEPARTMENT OF HEALTH,CENTERS FOR NEW HORIZONS 01,2018,1
PV27082483773,294362.35,2019-02-21,DEPT OF FLEET MGMT,"SOMERCOR 504, INC.",2019,2
PV27085286306,7279.26,2018-12-04,DEPT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,2018,12
PV99660478191,2101.2,2018-07-08,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",2018,7
PV27439241666,75701.44,2019-05-27,CHICAGO DEPARTMENT OF TRANSPORTATION,THRESHOLDS,2019,5
PV99014301825,408.96,2018-09-15,DEPT OF AVIATION,"OFFICE DEPOT, INC.",2018,9
PV99026825484,20870.89,2018-07-27,DEPT OF AVIATION,"BUS & TRUCK OF CHICAGO, INC",2018,7
CVIP850939577,7938.47,2019-02-13,DEPT OF GENERAL SERVICES,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2019,2
PVCI535877304,61574.87,2019-05-25,DEPT OF FAMILY AND SUPPORT SERVICES,COVENTRY WORKERS' COMP SERVICES,2019,5
PV27954417332,6422.15,2019-06-05,DEPT OF COMMUNITY DEVELOPMENT,JOHNSON PIPE & SUPPLY COMPANY INC,2019,6
PV99949195619,2004.92,2019-07-14,DEPT OF BUSINESS & INFORMATION SERVICES,JOHNSON PIPE & SUPPLY COMPANY INC,2019,7
PV39918680633,25123.37,2018-10-02,DEPT OF GENERAL SERVICES,"IT TAKES A VILLAGE CHILD CARE SERVICES, INC",2018,10
PVRF773090124,11219.72,2018-01-10,DEPT OF STREETS & SANITATION,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,1
PV39223703459,791.21,2018-10-04,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,JOHNSON PIPE & SUPPLY COMPANY INC,2018,10
PV99036458362,4441.93,2018-05-22,DEPT OF GENERAL SERVICES,"PROGRESSIVE INDUSTRIES, INC.",2018,5
PVCI883327276,3508.12,2019-03-28,DEPT OF COMMUNITY DEVELOPMENT,"OFFICE DEPOT, INC.",2019,3
PV39575494592,154164.0,2018-07-01,DEPARTMENT OF WATER MANAGEMENT,HENRY BOOTH HOUSE,2018,7
PVRF109266969,117240.31,2018-06-27,DEPT OF GENERAL SERVICES,"GRAYBAR ELECTRIC COMPANY, INC",2018,6
PV27761705524,59.58,2018-09-28,DEPT OF GENERAL SERVICES,PV HOLDING CORP,2018,9
PV39834884181,1640.96,2018-03-29,DEPT OF GENERAL SERVICES,CEPAMERICA ILLINOIS LLP,2018,3
PV99229491585,1586.1,2018-01-12,DEPT OF FAMILY AND SUPPORT SERVICES,AT&T CORP,2018,1
PV39441497918,22385.33,2019-05-22,DEPT OF FAMILY AND SUPPORT SERVICES,SHINING STAR YOUTH & COMMUNITY SERVICES,2019,5
PV27641128454,12.1,2019-10-26,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",2019,10
PV39058565553,23125.03,2018-06-21,FIRE DEPARTMENT,GENUINE PARTS COMPANY,2018,6
PV99681676346,18568.05,2018-01-10,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO YOUTH CENTERS,2018,1
PVCI344616363,16.08,2018-01-12,DEPT OF FAMILY AND SUPPORT SERVICES,RENTAL CAR FINANCE CORP,2018,1
PVRF941113052,8.97,2019-07-12,DEPT OF GENERAL SERVICES,WHEELS LT,2019,7
PV27535301737,134518.68,2018-11-03,DEPT OF BUSINESS & INFORMATION SERVICES,HERC RENTALS INC,2018,11
PV27106742333,34765.35,2019-10-01,DEPT OF AVIATION,EL HOGAR DEL NINO INC|CLEANED-UP,2019,10
PV27635394931,10590.54,2019-08-14,DEPT OF STREETS & SANITATION,CHICAGO COMMONS ASSOCIATION,2019,8
PVCI226667125,10547.47,2019-08-11,DEPARTMENT OF LAW,HNTB CORPORATION,2019,8
PV27938567282,52859.66,2018-06-16,DEPT OF AVIATION,JOHNSON PIPE & SUPPLY COMPANY INC,2018,6
PVRF742616981,15708.21,2018-08-03,DEPT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,2018,8
PV27400486437,694.76,2019-07-20,DEPT OF STREETS & SANITATION,"OFFICE DEPOT, INC.",2019,7
PVCI648601673,3636.32,2019-06-05,DEPT OF AVIATION,CHICAGO URBAN LEAGUE DEV CORP,2019,6
PV27541902137,4901.38,2019-05-18,DEPT OF FLEET MGMT,"INDUSTRIAL FENCE, INC",2019,5
PVRF687761197,3037.25,2018-10-27,DEPARTMENT OF CULTURAL AFFAIRS,"SILK SCREEN EXPRESS, INC.",2018,10
PV27414833875,1779.73,2018-08-20,OFFICE OF EMERGENCY COMMUNICATION,CITY UTILITY EQUIPMENT SALES & LEASING COMPANY,2018,8
PV99692317945,7.02,2019-03-11,OFFICE OF EMERGENCY COMMUNICATION,"OFFICE DEPOT, INC.",2019,3
PV27194630089,127414.62,2018-02-23,DEPT OF FLEET MGMT,JOHNSON PIPE & SUPPLY COMPANY INC,2018,2
PVRF090474995,85827.8,2019-01-08,DEPT OF GENERAL SERVICES,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,2019,1
PV99969689561,14785.64,2019-03-01,CHICAGO DEPARTMENT OF TRANSPORTATION,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,3
PV99971325801,9172.03,2018-04-24,DEPT OF AVIATION,OLIVE BRANCH MISSION,2018,4
PV39122165154,17749.37,2019-11-26,DEPT OF FLEET MGMT,CHICAGO COMMONS ASSOCIATION 02,2019,11
PV27316738313,23134.98,2019-01-29,DEPT OF BUSINESS & INFORMATION SERVICES,"GRAYBAR ELECTRIC COMPANY, INC",2019,1
PV39454136415,2349.91,2019-05-17,DEPT OF FLEET MGMT,HAYMARKET CENTER,2019,5
CVIP532772810,18651.98,2018-11-26,DEPT OF FLEET MGMT,HEARTLAND ALLIANCE HEALTH,2018,11
CVIP405167488,85916.39,2018-12-04,DEPT OF FAMILY AND SUPPORT SERVICES,"MEDRISK, INC",2018,12
PV39690029294,5825.43,2018-05-01,DEPARTMENT OF POLICE,NORTHSHORE UNIVERSITY HEALTHSYSTEM MEDICAL GROUP,2018,5
PVRF177082923,5485.59,2018-01-30,DEPT OF FAMILY AND SUPPORT SERVICES,MSC INDUSTRIAL SUPPLY CO,2018,1
CVIP914534910,82340.18,2019-09-27,DEPT OF GENERAL SERVICES,"MCDONAGH DEMOLITION, INC.",2019,9
PVRF273835181,28827.36,2018-11-28,DEPT OF FAMILY AND SUPPORT SERVICES,"CDW GOVERNMENT, LLC.",2018,11
PV39408785854,432.21,2018-05-14,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2018,5
PV39736922080,67752.12,2019-06-16,DEPT OF FAMILY AND SUPPORT SERVICES,REITER BURNS LLP,2019,6
PV99058864647,13824.48,2018-04-21,DEPARTMENT OF WATER MANAGEMENT,OPEN DOOR CLINIC OF GREATER ELGIN,2018,4
CVIP120530749,459733.54,2018-09-21,DEPT OF FAMILY AND SUPPORT SERVICES,AIR ONE EQUIPMENT INC,2018,9
